"","x"
"104","x01_tau_pi2620_scanner"
"105","x01_tau_pi2620_medial_temporal_suvr"
"106","x01_tau_pi2620_posterior_cingulate_suvr"
"107","x01_tau_pi2620_lateral_parietal_suvr"
"108","x01_tau_pi2620_slice_thickness"
"109","x02_encephalomalacia_favor_stroke"
"110","x02_encephalomalacia_favor_tbi"
"111","x02_clinical_findings"
"112","x02_clinical_impression"
"113","x02_encephalomalacia"
"114","x02_suggest_exclude"
"115","x02_definite_exclude"
"116","x02_wmh_volume_raw"
"117","x02_wmh_scale"
"118","x02_microhem_count"
"119","x02_microhem_present"
"120","x02_lacune_count"
"121","x02_lacune_present"
"122","x02_calc_count"
"123","x02_calc_present"
"124","x02_consider_exclusion"
"125","x02_wmh_volume_log"
"126","x02_clinical_findings_mh_microhemorrhage_calc_calcification"
"127","x03_fa_corticospinal_tract_left"
"128","x03_fa_anterior_limb_of_internal_capsule_left"
"129","x03_fa_posterior_limb_of_internal_capsule_left"
"130","x03_fa_posterior_thalamic_radiation_left"
"131","x03_fa_anterior_corona_radiata_left"
"132","x03_fa_superior_corona_radiata_left"
"133","x03_fa_posterior_corona_radiata_left"
"134","x03_fa_cingulum_cingulate_gyrus_left"
"135","x03_fa_cingulum_hippocampus_left"
"136","x03_fa_superior_longitudinal_fasciculus_left"
"137","x03_fa_superior_fronto_occipital_fasciculus_left"
"138","x03_fa_inferior_fronto_occipital_fasciculus_left"
"139","x03_fa_uncinate_fasciculus_left"
"140","x03_fa_genu_of_corpus_callosum_left"
"141","x03_fa_body_of_corpus_callosum_left"
"142","x03_fa_splenium_of_corpus_callosum_left"
"143","x03_fa_corticospinal_tract_right"
"144","x03_fa_anterior_limb_of_internal_capsule_right"
"145","x03_fa_posterior_limb_of_internal_capsule_right"
"146","x03_fa_posterior_thalamic_radiation_include_optic_radiation_right"
"147","x03_fa_anterior_corona_radiata_right"
"148","x03_fa_superior_corona_radiata_right"
"149","x03_fa_posterior_corona_radiata_right"
"150","x03_fa_cingulum_cingulate_gyrus_right"
"151","x03_fa_cingulum_hippocampus_right"
"152","x03_fa_superior_longitudinal_fasciculus_right"
"153","x03_fa_superior_fronto_occipital_fasciculus_right"
"154","x03_fa_inferior_fronto_occipital_fasciculus_right"
"155","x03_fa_uncinate_fasciculus_right"
"156","x03_fa_genu_of_corpus_callosum_right"
"157","x03_fa_body_of_corpus_callosum_right"
"158","x03_fa_splenium_of_corpus_callosum_right"
"159","x03_ad_corticospinal_tract_left"
"160","x03_ad_anterior_limb_of_internal_capsule_left"
"161","x03_ad_posterior_limb_of_internal_capsule_left"
"162","x03_ad_posterior_thalamic_radiation_left"
"163","x03_ad_anterior_corona_radiata_left"
"164","x03_ad_superior_corona_radiata_left"
"165","x03_ad_posterior_corona_radiata_left"
"166","x03_ad_cingulum_cingulate_gyrus_left"
"167","x03_ad_cingulum_hippocampus_left"
"168","x03_ad_superior_longitudinal_fasciculus_left"
"169","x03_ad_superior_fronto_occipital_fasciculus_left"
"170","x03_ad_inferior_fronto_occipital_fasciculus_left"
"171","x03_ad_uncinate_fasciculus_left"
"172","x03_ad_genu_of_corpus_callosum_left"
"173","x03_ad_body_of_corpus_callosum_left"
"174","x03_ad_splenium_of_corpus_callosum_left"
"175","x03_ad_corticospinal_tract_right"
"176","x03_ad_anterior_limb_of_internal_capsule_right"
"177","x03_ad_posterior_limb_of_internal_capsule_right"
"178","x03_ad_posterior_thalamic_radiation_include_optic_radiation_right"
"179","x03_ad_anterior_corona_radiata_right"
"180","x03_ad_superior_corona_radiata_right"
"181","x03_ad_posterior_corona_radiata_right"
"182","x03_ad_cingulum_cingulate_gyrus_right"
"183","x03_ad_cingulum_hippocampus_right"
"184","x03_ad_superior_longitudinal_fasciculus_right"
"185","x03_ad_superior_fronto_occipital_fasciculus_right"
"186","x03_ad_inferior_fronto_occipital_fasciculus_right"
"187","x03_ad_uncinate_fasciculus_right"
"188","x03_ad_genu_of_corpus_callosum_right"
"189","x03_ad_body_of_corpus_callosum_right"
"190","x03_ad_splenium_of_corpus_callosum_right"
"191","x03_md_corticospinal_tract_left"
"192","x03_md_anterior_limb_of_internal_capsule_left"
"193","x03_md_posterior_limb_of_internal_capsule_left"
"194","x03_md_posterior_thalamic_radiation_left"
"195","x03_md_anterior_corona_radiata_left"
"196","x03_md_superior_corona_radiata_left"
"197","x03_md_posterior_corona_radiata_left"
"198","x03_md_cingulum_cingulate_gyrus_left"
"199","x03_md_cingulum_hippocampus_left"
"200","x03_md_superior_longitudinal_fasciculus_left"
"201","x03_md_superior_fronto_occipital_fasciculus_left"
"202","x03_md_inferior_fronto_occipital_fasciculus_left"
"203","x03_md_uncinate_fasciculus_left"
"204","x03_md_genu_of_corpus_callosum_left"
"205","x03_md_body_of_corpus_callosum_left"
"206","x03_md_splenium_of_corpus_callosum_left"
"207","x03_md_corticospinal_tract_right"
"208","x03_md_anterior_limb_of_internal_capsule_right"
"209","x03_md_posterior_limb_of_internal_capsule_right"
"210","x03_md_posterior_thalamic_radiation_include_optic_radiation_right"
"211","x03_md_anterior_corona_radiata_right"
"212","x03_md_superior_corona_radiata_right"
"213","x03_md_posterior_corona_radiata_right"
"214","x03_md_cingulum_cingulate_gyrus_right"
"215","x03_md_cingulum_hippocampus_right"
"216","x03_md_superior_longitudinal_fasciculus_right"
"217","x03_md_superior_fronto_occipital_fasciculus_right"
"218","x03_md_inferior_fronto_occipital_fasciculus_right"
"219","x03_md_uncinate_fasciculus_right"
"220","x03_md_genu_of_corpus_callosum_right"
"221","x03_md_body_of_corpus_callosum_right"
"222","x03_md_splenium_of_corpus_callosum_right"
"223","x03_rd_corticospinal_tract_left"
"224","x03_rd_anterior_limb_of_internal_capsule_left"
"225","x03_rd_posterior_limb_of_internal_capsule_left"
"226","x03_rd_posterior_thalamic_radiation_left"
"227","x03_rd_anterior_corona_radiata_left"
"228","x03_rd_superior_corona_radiata_left"
"229","x03_rd_posterior_corona_radiata_left"
"230","x03_rd_cingulum_cingulate_gyrus_left"
"231","x03_rd_cingulum_hippocampus_left"
"232","x03_rd_superior_longitudinal_fasciculus_left"
"233","x03_rd_superior_fronto_occipital_fasciculus_left"
"234","x03_rd_inferior_fronto_occipital_fasciculus_left"
"235","x03_rd_uncinate_fasciculus_left"
"236","x03_rd_genu_of_corpus_callosum_left"
"237","x03_rd_body_of_corpus_callosum_left"
"238","x03_rd_splenium_of_corpus_callosum_left"
"239","x03_rd_corticospinal_tract_right"
"240","x03_rd_anterior_limb_of_internal_capsule_right"
"241","x03_rd_posterior_limb_of_internal_capsule_right"
"242","x03_rd_posterior_thalamic_radiation_include_optic_radiation_right"
"243","x03_rd_anterior_corona_radiata_right"
"244","x03_rd_superior_corona_radiata_right"
"245","x03_rd_posterior_corona_radiata_right"
"246","x03_rd_cingulum_cingulate_gyrus_right"
"247","x03_rd_cingulum_hippocampus_right"
"248","x03_rd_superior_longitudinal_fasciculus_right"
"249","x03_rd_superior_fronto_occipital_fasciculus_right"
"250","x03_rd_inferior_fronto_occipital_fasciculus_right"
"251","x03_rd_uncinate_fasciculus_right"
"252","x03_rd_genu_of_corpus_callosum_right"
"253","x03_rd_body_of_corpus_callosum_right"
"254","x03_rd_splenium_of_corpus_callosum_right"
"255","x01_hhr_present"
"256","x01_tau_pi2620_median_lateral_parietal_suvr"
"257","x01_tau_pi2620_median_medial_temporal_suvr"
"258","x01_tau_pi2620_median_posterior_cingulate_suvr"
"259","x01_tau_pi2620_present"
"260","x01_ab_fbb_present"
"261","x01_mri_time_point"
"262","x01_tau_pi2620_eroded_lateral_parietal_suvr"
"263","x01_hippocampal_volume_present"
"264","x01_whole_brain_volume_present"
"265","x04_cerebrum_tcv"
"266","x04_cerebrum_tcb"
"267","x04_cerebrum_tcc"
"268","x04_cerebrum_gray"
"269","x04_cerebrum_white"
"270","x04_left_hippo"
"271","x04_right_hippo"
"272","x04_total_hippo"
"273","x04_left_lateralvent"
"274","x04_right_lateralvent"
"275","x04_lateralvent"
"276","x04_thirdvent"
"277","x04_frontal_cortical"
"278","x04_occipital_cortical"
"279","x04_parietal_cortical"
"280","x04_temporal_cortical"
"281","x04_total_csf"
"282","x04_total_gray"
"283","x04_total_white"
"284","x04_total_wmh"
"285","x04_total_brain"
